Model	Version	PNO	Trt	Planting.date	Emergence.date	Ant.date	Mat.date	FLN	Yield	Biom.an	Biom.ma	HI	GNumber	CroN.an	CroN.ma	GrainN.ma	GPC	GDM.ma	GNM.ma	ET.ma	Transp.ma
SP	Improved	10	C	2008-04-28	2008-05-05	2008-06-12	2008-06-27	NA	1.33	5.81	5.81	22.94	NA	NA	NA	NA	NA	NA	NA	300.94	101.71
SP	Improved	11	C	2008-08-25	2008-09-02	NA	NA	NA	3.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SP	Improved	14	C	2008-12-01	2008-12-21	2009-03-22	2009-05-06	NA	9.9	17.65	17.65	56.07	NA	NA	NA	NA	NA	NA	NA	419.92	249.02
SP	Improved	14	H	2008-12-01	2008-12-18	2009-03-12	2009-04-24	NA	9.29	16.09	16.09	57.75	NA	NA	NA	NA	NA	NA	NA	374.84	224.05
SP	Improved	15	C	2009-01-12	2009-01-24	2009-04-11	2009-05-12	NA	7.45	15.36	15.36	48.52	NA	NA	NA	NA	NA	NA	NA	412.01	237.64
SP	Improved	1	C	2007-03-13	2007-03-27	2007-05-13	2007-06-05	NA	3.04	9.94	9.94	30.61	NA	NA	NA	NA	NA	NA	NA	376.59	175.85
SP	Improved	1	H	2007-03-13	2007-03-28	2007-05-10	2007-05-30	NA	2.44	9.21	9.21	26.46	NA	NA	NA	NA	NA	NA	NA	347.81	167.24
SP	Improved	2	C	2007-04-19	2007-04-29	2007-06-10	2007-06-29	NA	1.57	5.33	5.33	29.54	NA	NA	NA	NA	NA	NA	NA	367	93.2
SP	Improved	3	C	2007-06-12	2007-06-25	NA	NA	NA	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SP	Improved	4	C	2007-07-25	2007-08-04	NA	NA	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SP	Improved	7	C	2008-01-02	2008-01-14	2008-04-06	2008-05-14	NA	9.41	17.74	17.74	53.03	NA	NA	NA	NA	NA	NA	NA	441.27	275.01
SP	Improved	7	H	2008-01-02	2008-01-14	2008-03-30	2008-05-04	NA	7.95	15	15	53.01	NA	NA	NA	NA	NA	NA	NA	398.3	232.05
SP	Improved	8	C	2008-02-13	2008-02-21	2008-04-21	2008-05-25	NA	8.47	16.53	16.53	51.22	NA	NA	NA	NA	NA	NA	NA	435.31	275.81
SP	Improved	9	C	2008-03-10	2008-03-20	2008-05-08	2008-06-06	NA	5.6	13.35	13.35	41.9	NA	NA	NA	NA	NA	NA	NA	419.03	233.46
SP	Improved	9	H	2008-03-10	2008-03-20	2008-05-03	2008-05-31	NA	5.3	12.02	12.02	44.03	NA	NA	NA	NA	NA	NA	NA	392.24	211.73
SQ	Improved	10	C	2008-04-28	2008-05-06	2008-06-19	2008-06-29	11.01	0.58	5.71	5.97	9.68	8147	109	113	13	12.82	7.09	0.16	362.89	NA
SQ	Improved	11	C	2008-08-25	2008-08-29	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	16	NA	6.75	0.21	NA	NA
SQ	Improved	14	C	2008-12-01	2008-12-17	2009-03-25	2009-05-01	8.09	7.89	11.44	17.6	44.85	19768	237	270	224	16.17	39.94	1.13	555.66	NA
SQ	Improved	14	H	2008-12-01	2008-12-16	2009-03-13	2009-04-18	8.34	6.81	9.35	14.71	46.31	14375.67	215	238.33	198	16.58	47.77	1.38	496.57	NA
SQ	Improved	15	C	2009-01-12	2009-01-21	2009-04-05	2009-05-08	8.23	6.88	10.26	15.48	44.4	17037	191	225	182	15.09	40.35	1.07	534.75	NA
SQ	Improved	1	C	2007-03-13	2007-03-27	2007-05-14	2007-06-02	9.7	2.5	8	9.75	25.71	9640	141.67	147	82.33	18.71	26.2	0.86	430.67	NA
SQ	Improved	1	H	2007-03-13	2007-03-26	2007-05-11	2007-05-25	10.56	1.25	7.04	8	15.59	9223	129.67	130.67	41	18.4	13.61	0.44	393.44	NA
SQ	Improved	2	C	2007-04-19	2007-04-28	2007-06-08	2007-06-20	10.76	0.6	5.66	6.47	9.23	7320	116	125	23	21.96	8.16	0.31	402.51	NA
SQ	Improved	3	C	2007-06-12	2007-06-15	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA	79	NA	17.73	2.17	NA	NA
SQ	Improved	4	C	2007-07-25	2007-07-29	NA	NA	NA	0.96	NA	NA	NA	NA	NA	NA	67	NA	12.53	0.87	NA	NA
